date,askclose
2018-09-03 21:00:00,12174
2018-09-04 21:00:00,12199
2018-09-05 21:00:00,12179
2018-09-06 21:00:00,12162
2018-09-07 21:00:00,12206
2018-09-10 21:00:00,12179
2018-09-11 21:00:00,12183
2018-09-12 21:00:00,12158
2018-09-13 21:00:00,12142
2018-09-14 21:00:00,12173
2018-09-17 21:00:00,12137
2018-09-18 21:00:00,12140
2018-09-19 21:00:00,12127
2018-09-20 21:00:00,12084
2018-09-21 21:00:00,12123
2018-09-24 21:00:00,12129
2018-09-25 21:00:00,12118
2018-09-26 21:00:00,12120
2018-09-27 21:00:00,12175
2018-09-28 21:00:00,12191
2018-10-01 21:00:00,12198
2018-10-02 21:00:00,12217
2018-10-03 21:00:00,12272
2018-10-04 21:00:00,12249
2018-10-05 21:00:00,12236
2018-10-08 21:00:00,12230
2018-10-09 21:00:00,12211
2018-10-10 21:00:00,12200
2018-10-11 21:00:00,12160
2018-10-12 21:00:00,12185
2018-10-15 21:00:00,12167
2018-10-16 21:00:00,12168
2018-10-17 21:00:00,12208
2018-10-18 21:00:00,12228
2018-10-19 21:00:00,12209
2018-10-22 21:00:00,12248
2018-10-23 21:00:00,12237
2018-10-24 21:00:00,12271
2018-10-25 21:00:00,12282
2018-10-26 21:00:00,12265
2018-10-29 21:00:00,12291
2018-10-30 21:00:00,12311
2018-10-31 21:00:00,12312
2018-11-01 21:00:00,12221
2018-11-02 22:00:00,12240
2018-11-05 22:00:00,12221
2018-11-06 22:00:00,12204
2018-11-07 22:00:00,12194
2018-11-08 22:00:00,12228
2018-11-09 22:00:00,12251
2018-11-12 22:00:00,12306
2018-11-13 22:00:00,12262
2018-11-14 22:00:00,12250
2018-11-15 22:00:00,12271
2018-11-16 22:00:00,12219
2018-11-19 22:00:00,12212
2018-11-20 22:00:00,12261
2018-11-21 22:00:00,12253
2018-11-22 22:00:00,12234
2018-11-23 22:00:00,12264
2018-11-26 22:00:00,12277
2018-11-27 22:00:00,12296
2018-11-28 22:00:00,12248
2018-11-29 22:00:00,12243
2018-11-30 22:00:00,12265
2018-12-03 22:00:00,12253
2018-12-04 22:00:00,12247
2018-12-05 22:00:00,12267
2018-12-06 22:00:00,12254
2018-12-07 22:00:00,12268
2018-12-10 22:00:00,12315
2018-12-11 22:00:00,12331
2018-12-12 22:00:00,12294
2018-12-13 22:00:00,12294
2018-12-14 22:00:00,12325
2018-12-17 22:00:00,12302
2018-12-18 22:00:00,12292
2018-12-19 22:00:00,12309
2018-12-20 22:00:00,12270
2018-12-21 22:00:00,12307
2018-12-24 22:00:00,12269
2018-12-26 22:00:00,12302
2018-12-27 22:00:00,12289
2018-12-28 22:00:00,12265
2018-12-31 22:00:00,12245
2019-01-02 22:00:00,12287
2019-01-03 22:00:00,12247
2019-01-04 22:00:00,12220
2019-01-07 22:00:00,12193
2019-01-08 22:00:00,12211
2019-01-09 22:00:00,12162
2019-01-10 22:00:00,12178
2019-01-11 22:00:00,12165
2019-01-14 22:00:00,12158
2019-01-15 22:00:00,12177
2019-01-16 22:00:00,12193
2019-01-17 22:00:00,12172
2019-01-18 22:00:00,12213
2019-01-21 22:00:00,12208
2019-01-22 22:00:00,12202
2019-01-23 22:00:00,12180
2019-01-24 22:00:00,12207
2019-01-25 22:00:00,12144
2019-01-28 22:00:00,12146
2019-01-29 22:00:00,12164
2019-01-30 22:00:00,12118
2019-01-31 22:00:00,12117
2019-02-01 22:00:00,12137
2019-02-04 22:00:00,12158
2019-02-05 22:00:00,12177
2019-02-06 22:00:00,12220
2019-02-07 22:00:00,12219
2019-02-08 22:00:00,12228
2019-02-11 22:00:00,12266
2019-02-12 22:00:00,12244
2019-02-13 22:00:00,12274
2019-02-14 22:00:00,12262
2019-02-15 22:00:00,12240
2019-02-18 22:00:00,12237
2019-02-19 22:00:00,12199
2019-02-20 22:00:00,12206
2019-02-21 22:00:00,12225
2019-02-22 22:00:00,12213
2019-02-25 22:00:00,12197
2019-02-26 22:00:00,12155
2019-02-27 22:00:00,12166
2019-02-28 22:00:00,12191
2019-03-01 22:00:00,12215
2019-03-04 22:00:00,12217
2019-03-05 22:00:00,12227
2019-03-06 22:00:00,12240
2019-03-07 22:00:00,12276
2019-03-08 22:00:00,12266
2019-03-11 21:00:00,12236
2019-03-12 21:00:00,12241
2019-03-13 21:00:00,12185
2019-03-14 21:00:00,12221
2019-03-15 21:00:00,12201
2019-03-18 21:00:00,12197
2019-03-19 21:00:00,12197
2019-03-20 21:00:00,12178
2019-03-21 21:00:00,12203
2019-03-22 21:00:00,12193
2019-03-25 21:00:00,12185
2019-03-26 21:00:00,12198
2019-03-27 21:00:00,12215
2019-03-28 21:00:00,12248
2019-03-29 21:00:00,12247
2019-04-01 21:00:00,12242
2019-04-02 21:00:00,12248
2019-04-03 21:00:00,12232
2019-04-04 21:00:00,12251
2019-04-05 21:00:00,12261
2019-04-08 21:00:00,12238
2019-04-09 21:00:00,12235
2019-04-10 21:00:00,12214
2019-04-11 21:00:00,12245
2019-04-12 21:00:00,12228
2019-04-15 21:00:00,12222
2019-04-16 21:00:00,12233
2019-04-17 21:00:00,12232
2019-04-18 21:00:00,12259
2019-04-19 21:00:00,12257
2019-04-22 21:00:00,12257
2019-04-23 21:00:00,12278
2019-04-24 21:00:00,12322
2019-04-25 21:00:00,12318
2019-04-26 21:00:00,12308
2019-04-29 21:00:00,12292
2019-04-30 21:00:00,12269
2019-05-01 21:00:00,12279
2019-05-02 21:00:00,12293
2019-05-03 21:00:00,12251
2019-05-06 21:00:00,12265
2019-05-07 21:00:00,12258
2019-05-08 21:00:00,12270
2019-05-09 21:00:00,12263
2019-05-10 21:00:00,12259
2019-05-13 21:00:00,12270
2019-05-14 21:00:00,12287
2019-05-15 21:00:00,12302
2019-05-16 21:00:00,12327
2019-05-17 21:00:00,12353
2019-05-20 21:00:00,12340
2019-05-21 21:00:00,12357
2019-05-22 21:00:00,12364
2019-05-23 21:00:00,12342
2019-05-24 21:00:00,12317
2019-05-27 21:00:00,12331
2019-05-28 21:00:00,12336
2019-05-29 21:00:00,12351
2019-05-30 21:00:00,12357
2019-05-31 21:00:00,12317
2019-06-03 21:00:00,12284
2019-06-04 21:00:00,12276
2019-06-05 21:00:00,12294
2019-06-06 21:00:00,12280
2019-06-07 21:00:00,12253
2019-06-10 21:00:00,12279
2019-06-11 21:00:00,12271
2019-06-12 21:00:00,12291
2019-06-13 21:00:00,12297
2019-06-14 21:00:00,12338
2019-06-17 21:00:00,12348
2019-06-18 21:00:00,12342
2019-06-19 21:00:00,12314
2019-06-20 21:00:00,12268
2019-06-21 21:00:00,12247
2019-06-24 21:00:00,12232
2019-06-25 21:00:00,12247
2019-06-26 21:00:00,12250
2019-06-27 21:00:00,12247
2019-06-28 21:00:00,12242
2019-07-01 21:00:00,12289
2019-07-02 21:00:00,12280
2019-07-03 21:00:00,12276
2019-07-04 21:00:00,12274
2019-07-05 21:00:00,12317
2019-07-08 21:00:00,12326
2019-07-09 21:00:00,12349
2019-07-10 21:00:00,12320
2019-07-11 21:00:00,12313
2019-07-12 21:00:00,12280
2019-07-15 21:00:00,12287
2019-07-16 21:00:00,12326
2019-07-17 21:00:00,12314
2019-07-18 21:00:00,12259
2019-07-19 21:00:00,12294
2019-07-22 21:00:00,12303
2019-07-23 21:00:00,12333
2019-07-24 21:00:00,12334
2019-07-25 21:00:00,12352
2019-07-26 21:00:00,12378
2019-07-29 21:00:00,12404
2019-07-30 21:00:00,12417
2019-07-31 21:00:00,12441
2019-08-01 21:00:00,12430
2019-08-02 21:00:00,12408
2019-08-05 21:00:00,12392
2019-08-06 21:00:00,12398
2019-08-07 21:00:00,12398
2019-08-08 21:00:00,12388
2019-08-09 21:00:00,12400
2019-08-12 21:00:00,12390
2019-08-13 21:00:00,12415
2019-08-14 21:00:00,12419
2019-08-15 21:00:00,12418
2019-08-16 21:00:00,12415
2019-08-19 21:00:00,12428
2019-08-20 21:00:00,12407
2019-08-21 21:00:00,12423
2019-08-22 21:00:00,12406
2019-08-23 21:00:00,12372
2019-08-26 21:00:00,12397
2019-08-27 21:00:00,12386
2019-08-28 21:00:00,12413
2019-08-29 21:00:00,12430
2019-08-30 21:00:00,12440
2019-09-02 21:00:00,12464
2019-09-03 21:00:00,12443
2019-09-04 21:00:00,12403
2019-09-05 21:00:00,12397
2019-09-06 21:00:00,12395
2019-09-09 21:00:00,12386
2019-09-10 21:00:00,12390
2019-09-11 21:00:00,12405
2019-09-12 21:00:00,12399
2019-09-13 21:00:00,12367
2019-09-16 21:00:00,12396
2019-09-17 21:00:00,12370
2019-09-18 21:00:00,12399
2019-09-19 21:00:00,12389
2019-09-20 21:00:00,12401
2019-09-23 21:00:00,12409
2019-09-24 21:00:00,12379
2019-09-25 21:00:00,12441
2019-09-26 21:00:00,12452
2019-09-27 21:00:00,12452
2019-09-30 21:00:00,12464
2019-10-01 21:00:00,12461
2019-10-02 21:00:00,12446
2019-10-03 21:00:00,12426
2019-10-04 21:00:00,12418
2019-10-07 21:00:00,12440
2019-10-08 21:00:00,12452
2019-10-09 21:00:00,12459
2019-10-10 21:00:00,12417
2019-10-11 21:00:00,12377
2019-10-14 21:00:00,12389
2019-10-15 21:00:00,12373
2019-10-16 21:00:00,12355
2019-10-17 21:00:00,12317
2019-10-18 21:00:00,12283
2019-10-21 21:00:00,12290
2019-10-22 21:00:00,12309
2019-10-23 21:00:00,12306
2019-10-24 21:00:00,12328
2019-10-25 21:00:00,12338
2019-10-28 21:00:00,12329
2019-10-29 21:00:00,12317
2019-10-30 21:00:00,12295
2019-10-31 21:00:00,12276
2019-11-01 21:00:00,12273
2019-11-03 22:00:00,12275
2019-11-04 22:00:00,12302
2019-11-05 22:00:00,12319
2019-11-06 22:00:00,12324
2019-11-07 22:00:00,12336
2019-11-08 22:00:00,12359
2019-11-11 22:00:00,12340
2019-11-12 22:00:00,12348
2019-11-13 22:00:00,12345
2019-11-14 22:00:00,12343
2019-11-15 22:00:00,12334
2019-11-18 22:00:00,12321
2019-11-19 22:00:00,12317
2019-11-20 22:00:00,12326
2019-11-21 22:00:00,12336
2019-11-22 22:00:00,12357
2019-11-25 22:00:00,12352
2019-11-26 22:00:00,12356
2019-11-27 22:00:00,12363
2019-11-28 22:00:00,12364
2019-11-29 22:00:00,12362
2019-12-02 22:00:00,12325
2019-12-03 22:00:00,12302
2019-12-04 22:00:00,12290
2019-12-05 22:00:00,12277
2019-12-06 22:00:00,12286
2019-12-09 22:00:00,12287
2019-12-10 22:00:00,12285
2019-12-11 22:00:00,12253
2019-12-12 22:00:00,12263
2019-12-13 22:00:00,12248
2019-12-16 22:00:00,12243
2019-12-17 22:00:00,12281
2019-12-18 22:00:00,12297
2019-12-19 22:00:00,12296
2019-12-20 22:00:00,12305
2019-12-23 22:00:00,12305
2019-12-24 22:00:00,12303
2019-12-26 22:00:00,12294
2019-12-27 22:00:00,12253
2019-12-30 22:00:00,12230
2019-12-31 22:00:00,12193
2020-01-02 22:00:00,12226
2020-01-03 22:00:00,12243
2020-01-06 22:00:00,12226
2020-01-07 22:00:00,12260
2020-01-08 22:00:00,12286
2020-01-09 22:00:00,12299
2020-01-10 22:00:00,12288
2020-01-13 22:00:00,12302
2020-01-14 22:00:00,12300
2020-01-15 22:00:00,12291
2020-01-16 22:00:00,12292
2020-01-17 22:00:00,12319
2020-01-20 22:00:00,12317
2020-01-21 22:00:00,12315
2020-01-22 22:00:00,12298
2020-01-23 22:00:00,12302
2020-01-24 22:00:00,12318
2020-01-27 22:00:00,12329
2020-01-28 22:00:00,12338
2020-01-29 22:00:00,12341
2020-01-30 22:00:00,12332
2020-01-31 22:00:00,12301
2020-02-03 22:00:00,12346
2020-02-04 22:00:00,12345
2020-02-05 22:00:00,12362
2020-02-06 22:00:00,12384
2020-02-07 22:00:00,12408
2020-02-10 22:00:00,12406
2020-02-11 22:00:00,12392
2020-02-12 22:00:00,12399
2020-02-13 22:00:00,12392
2020-02-14 22:00:00,12394
2020-02-17 22:00:00,12401
2020-02-18 22:00:00,12417
2020-02-19 22:00:00,12454
2020-02-20 22:00:00,12491
2020-02-21 22:00:00,12456
2020-02-24 22:00:00,12452
2020-02-25 22:00:00,12424
2020-02-26 22:00:00,12460
2020-02-27 22:00:00,12419
2020-02-28 22:00:00,12416
2020-03-02 22:00:00,12403
2020-03-03 22:00:00,12353
2020-03-04 22:00:00,12347
2020-03-05 22:00:00,12294
2020-03-06 22:00:00,12248
2020-03-09 21:00:00,12167
2020-03-10 21:00:00,12311
2020-03-11 21:00:00,12312
2020-03-12 21:00:00,12430
2020-03-13 21:00:00,12565
2020-03-16 21:00:00,12530
2020-03-17 21:00:00,12661
2020-03-18 21:00:00,12810
2020-03-19 21:00:00,12923
2020-03-20 21:00:00,12879
2020-03-23 21:00:00,12896
2020-03-24 21:00:00,12818
2020-03-25 21:00:00,12779
2020-03-26 21:00:00,12647
2020-03-27 21:00:00,12535
2020-03-30 21:00:00,12554
2020-03-31 21:00:00,12561
2020-04-01 21:00:00,12589
2020-04-02 21:00:00,12622
2020-04-03 21:00:00,12678
2020-04-06 21:00:00,12675
2020-04-07 21:00:00,12614
2020-04-08 21:00:00,12598
2020-04-09 21:00:00,12540
2020-04-10 21:00:00,12530
2020-04-13 21:00:00,12514
2020-04-14 21:00:00,12456
2020-04-15 21:00:00,12521
2020-04-16 21:00:00,12549
2020-04-17 21:00:00,12522
2020-04-20 21:00:00,12541
2020-04-21 21:00:00,12581
2020-04-22 21:00:00,12571
2020-04-23 21:00:00,12563
2020-04-24 21:00:00,12542
2020-04-27 21:00:00,12511
2020-04-28 21:00:00,12500
2020-04-29 21:00:00,12463
2020-04-30 21:00:00,12449
2020-05-01 21:00:00,12478
2020-05-04 21:00:00,12495
2020-05-05 21:00:00,12504
2020-05-06 21:00:00,12527
2020-05-07 21:00:00,12496
2020-05-08 21:00:00,12486
2020-05-11 21:00:00,12531
2020-05-12 21:00:00,12532
2020-05-13 21:00:00,12542
2020-05-14 21:00:00,12548
2020-05-15 21:00:00,12574
2020-05-18 21:00:00,12520
2020-05-19 21:00:00,12513
2020-05-20 21:00:00,12486
2020-05-21 21:00:00,12503
2020-05-22 21:00:00,12530
2020-05-25 21:00:00,12526
2020-05-26 21:00:00,12457
2020-05-27 21:00:00,12474
2020-05-28 21:00:00,12446
2020-05-29 21:00:00,12433
2020-06-01 21:00:00,12367
2020-06-02 21:00:00,12346
2020-06-03 21:00:00,12328
2020-06-04 21:00:00,12304
2020-06-05 21:00:00,12303
2020-06-08 21:00:00,12260
2020-06-09 21:00:00,12254
2020-06-10 21:00:00,12224
2020-06-11 21:00:00,12292
2020-06-12 21:00:00,12317
2020-06-15 21:00:00,12280
2020-06-16 21:00:00,12303
2020-06-17 21:00:00,12305
2020-06-18 21:00:00,12341
2020-06-19 21:00:00,12363
2020-06-22 21:00:00,12308
2020-06-23 21:00:00,12279
2020-06-24 21:00:00,12330
2020-06-25 21:00:00,12335
2020-06-26 21:00:00,12356
2020-06-29 21:00:00,12361
2020-06-30 21:00:00,12343
2020-07-01 21:00:00,12317
2020-07-02 21:00:00,12319
2020-07-03 21:00:00,12312
2020-07-06 21:00:00,12288
2020-07-07 21:00:00,12296
2020-07-08 21:00:00,12261
2020-07-09 21:00:00,12273
2020-07-10 21:00:00,12269
2020-07-13 21:00:00,12278
2020-07-14 21:00:00,12258
2020-07-15 21:00:00,12237
2020-07-16 21:00:00,12262
2020-07-17 21:00:00,12244
2020-07-20 21:00:00,12222
2020-07-21 21:00:00,12160
2020-07-22 21:00:00,12156
2020-07-23 21:00:00,12154
2020-07-24 21:00:00,12121
2020-07-27 21:00:00,12063
2020-07-28 21:00:00,12056
2020-07-29 21:00:00,12020
2020-07-30 21:00:00,11989
2020-07-31 21:00:00,12041
2020-08-03 21:00:00,12047
2020-08-04 21:00:00,12027
2020-08-05 21:00:00,11999
2020-08-06 21:00:00,11981
2020-08-07 21:00:00,12039
2020-08-10 21:00:00,12046
2020-08-11 21:00:00,12061
2020-08-12 21:00:00,12058
2020-08-13 21:00:00,12051
2020-08-14 21:00:00,12033
2020-08-17 21:00:00,12001
2020-08-18 21:00:00,11950
2020-08-19 21:00:00,12021
2020-08-20 21:00:00,11987
2020-08-21 21:00:00,12029
2020-08-24 21:00:00,12036
2020-08-25 21:00:00,12012
2020-08-26 21:00:00,11987
2020-08-27 21:00:00,11994
2020-08-28 21:00:00,11908
2020-08-31 21:00:00,11905
2020-09-01 21:00:00,11909
2020-09-02 21:00:00,11938
2020-09-03 21:00:00,11966
2020-09-04 21:00:00,11968
2020-09-07 21:00:00,11993
2020-09-08 21:00:00,12040
2020-09-09 21:00:00,12016
2020-09-10 21:00:00,12051
2020-09-11 21:00:00,12042
2020-09-14 21:00:00,12021
2020-09-15 21:00:00,12009
2020-09-16 21:00:00,11992
2020-09-17 21:00:00,11979
2020-09-18 21:00:00,11993
2020-09-21 21:00:00,12039
2020-09-22 21:00:00,12083
2020-09-23 21:00:00,12126
2020-09-24 21:00:00,12129
2020-09-25 21:00:00,12143
2020-09-28 21:00:00,12111
2020-09-29 21:00:00,12080
2020-09-30 21:00:00,12064
2020-10-01 21:00:00,12059
2020-10-02 21:00:00,12060
2020-10-05 21:00:00,12043
2020-10-06 21:00:00,12086
2020-10-07 21:00:00,12072
2020-10-08 21:00:00,12062
2020-10-09 21:00:00,12006
2020-10-12 21:00:00,12009
2020-10-13 21:00:00,12056
2020-10-14 21:00:00,12037
2020-10-15 21:00:00,12084
2020-10-16 21:00:00,12084
2020-10-19 21:00:00,12072
2020-10-20 21:00:00,12067
2020-10-21 21:00:00,11997
2020-10-22 21:00:00,12019
2020-10-23 21:00:00,12011
2020-10-26 21:00:00,12027
2020-10-27 21:00:00,12017
2020-10-28 21:00:00,12055
2020-10-29 21:00:00,12087
2020-10-30 21:00:00,12090
2020-11-02 22:00:00,12090
2020-11-03 22:00:00,12025
2020-11-04 22:00:00,12031
2020-11-05 22:00:00,11941
2020-11-06 22:00:00,11935
2020-11-09 22:00:00,11976
2020-11-10 22:00:00,11957
2020-11-11 22:00:00,11974
2020-11-12 22:00:00,11993
2020-11-13 22:00:00,11957
2020-11-16 22:00:00,11938
2020-11-17 22:00:00,11927
2020-11-18 22:00:00,11917
2020-11-19 22:00:00,11918
2020-11-20 22:00:00,11915
2020-11-23 22:00:00,11928
2020-11-24 22:00:00,11893
2020-11-25 22:00:00,11886
2020-11-26 22:00:00,11886
2020-11-27 22:00:00,11877
2020-11-30 22:00:00,11895
2020-12-01 22:00:00,11847
2020-12-02 22:00:00,11836
2020-12-03 22:00:00,11803
2020-12-04 22:00:00,11817
2020-12-07 22:00:00,11827
2020-12-08 22:00:00,11837
2020-12-09 22:00:00,11828
2020-12-10 22:00:00,11813
2020-12-11 22:00:00,11825
2020-12-14 22:00:00,11803
2020-12-15 22:00:00,11767
2020-12-16 22:00:00,11741
2020-12-17 22:00:00,11697
2020-12-18 22:00:00,11714
2020-12-21 22:00:00,11735
2020-12-22 22:00:00,11789
2020-12-23 22:00:00,11749
2020-12-24 22:00:00,11739
2020-12-28 22:00:00,11754
2020-12-29 22:00:00,11729
2020-12-30 22:00:00,11672
2020-12-31 22:00:00,11678
2021-01-04 22:00:00,11695
2021-01-05 22:00:00,11645
2021-01-06 22:00:00,11638
2021-01-07 22:00:00,11677
2021-01-08 22:00:00,11691
2021-01-11 22:00:00,11734
2021-01-12 22:00:00,11671
2021-01-13 22:00:00,11698
2021-01-14 22:00:00,11677
2021-01-15 22:00:00,11730
2021-01-18 22:00:00,11730
2021-01-19 22:00:00,11714
2021-01-20 22:00:00,11695
2021-01-21 22:00:00,11666
2021-01-22 22:00:00,11692
2021-01-25 22:00:00,11696
2021-01-26 22:00:00,11672
2021-01-27 22:00:00,11720
2021-01-28 22:00:00,11711
2021-01-29 22:00:00,11732
2021-02-01 22:00:00,11758
2021-02-02 22:00:00,11764
2021-02-03 22:00:00,11767
2021-02-04 22:00:00,11791
2021-02-05 22:00:00,11744
2021-02-08 22:00:00,11734
2021-02-09 22:00:00,11688
2021-02-10 22:00:00,11689
2021-02-11 22:00:00,11685
2021-02-12 22:00:00,11683
2021-02-15 22:00:00,11676
2021-02-16 22:00:00,11698
2021-02-17 22:00:00,11716
2021-02-18 22:00:00,11681
2021-02-19 22:00:00,11643
2021-02-22 22:00:00,11606
